"Chromosome","GeneID","Gene_name","Position","M1","M2","M3","M4"
"1","XLOC_000969","IL10RB",1563260,7,1,3,2
"1","XLOC_000969","IL10RB",1563295,3,3,1,2
"1","XLOC_000969","IL10RB",1563318,3,1,1,NA
"1","XLOC_000969","IL10RB",1563932,2,3,0,4
"1","XLOC_000969","IL10RB",1564896,1,NA,NA,NA
"1","XLOC_000969","IL10RB",1582959,4,2,NA,NA
"1","XLOC_000969","IL10RB",1591674,1,NA,NA,NA
"1","XLOC_000969","IL10RB",1591682,1,NA,NA,0
"1","XLOC_000970","IFNAR2",1593452,6,4,NA,15
"1","XLOC_000970","IFNAR2",1593610,6,2,5,7
"1","XLOC_000970","IFNAR2",1593789,6,5,NA,10
"1","XLOC_000970","IFNAR2",1593827,5,4,NA,9
"1","XLOC_000970","IFNAR2",1593969,3,2,NA,1
"1","XLOC_000970","IFNAR2",1594032,2,4,NA,4
"1","XLOC_000970","IFNAR2",1594307,4,3,9,7
"1","XLOC_000970","IFNAR2",1594372,4,3,NA,7
"1","XLOC_000970","IFNAR2",1608032,5,3,NA,6
"1","XLOC_000970","IFNAR2",1626941,3,1,NA,NA
"1","XLOC_000971","OLIG1",1775551,59,NA,45,52
"1","XLOC_000971","OLIG1",1775954,96,39,50,NA
"1","XLOC_001601","No_Associated_Gene_Name",1823291,118,11,66,68
"1","XLOC_000973","No_Associated_Gene_Name",1824906,86,NA,NA,NA
"1","XLOC_000973","No_Associated_Gene_Name",1824951,45,NA,NA,NA
"1","XLOC_000973","No_Associated_Gene_Name",1825080,22,NA,NA,NA
"1","XLOC_000973","No_Associated_Gene_Name",1825722,10,NA,NA,NA
"1","XLOC_000332","GCFC1",2076954,25,26,27,NA
"1","XLOC_000332","GCFC1",2077337,3,NA,NA,NA
"1","XLOC_000332","GCFC1",2079444,13,13,21,NA
"1","XLOC_000332","GCFC1",2081023,11,14,21,14
"1","XLOC_000332","GCFC1",2081218,17,10,22,22
"1","XLOC_000332","GCFC1",2081306,10,7,13,15
"1","XLOC_000332","GCFC1",2083007,6,5,9,5
"1","XLOC_000332","GCFC1",2083273,2,1,8,3
"1","XLOC_000332","GCFC1",2083353,0,3,1,NA
"1","XLOC_000332","GCFC1",2083621,3,NA,5,5
"1","XLOC_000332","GCFC1",2084331,2,4,2,5
"1","XLOC_000332","GCFC1",2084351,3,0,2,3
"1","XLOC_000332","GCFC1",2084422,3,5,3,4
"1","XLOC_000332","GCFC1",2084478,5,8,6,NA
"1","XLOC_000332","GCFC1",2084553,2,0,6,3
"1","XLOC_000332","GCFC1",2085310,32,NA,NA,NA
"1","XLOC_000332","GCFC1",2098277,11,11,20,19
"1","XLOC_000332","GCFC1",2098997,7,NA,28,13
"1","XLOC_000332","GCFC1",2101467,0,NA,1,2
"1","XLOC_000332","GCFC1",2102525,1,0,2,NA
"1","XLOC_000332","GCFC1",2102593,1,NA,NA,NA
"1","XLOC_000333","SYNJ1",2135832,7,8,18,22
"1","XLOC_000333","SYNJ1",2169715,26,13,31,17
"1","XLOC_000333","SYNJ1",2170702,21,18,28,31
"1","XLOC_000333","SYNJ1",2170759,11,NA,NA,NA
"1","XLOC_000333","SYNJ1",2196312,42,NA,34,37
"1","XLOC_000333","SYNJ1",2197663,32,23,41,39
"1","XLOC_000333","SYNJ1",2197760,8,NA,11,10
"1","XLOC_000333","SYNJ1",2197793,18,NA,27,32
"1","XLOC_000333","SYNJ1",2198105,36,NA,74,59
"1","XLOC_000333","SYNJ1",2198510,19,18,37,35
"1","XLOC_000333","SYNJ1",2199023,1,NA,NA,3
"1","XLOC_000333","SYNJ1",2199029,1,NA,NA,3
"1","XLOC_000334","C1H21orf59",2203775,1,NA,NA,NA
"1","XLOC_000334","C1H21orf59",2203804,0,NA,NA,NA
"1","XLOC_000334","C1H21orf59",2212758,37,17,43,37
"1","XLOC_000334","C1H21orf59",2214308,63,NA,68,74
"1","XLOC_000334","C1H21orf59",2216710,0,NA,NA,NA
"1","XLOC_000334","C1H21orf59",2217179,0,NA,NA,NA
"1","XLOC_000335","URB1",2387462,2,NA,1,1
"1","XLOC_000335","URB1",2396140,1,2,9,NA
"1","XLOC_000335","URB1",2400939,2,3,2,2
"1","XLOC_000335","URB1",2419709,0,1,0,NA
"1","XLOC_000335","URB1",2421759,1,2,3,3
"1","XLOC_000335","URB1",2424429,1,0,NA,1
"1","XLOC_000335","URB1",2424704,2,0,0,2
"1","XLOC_000335","URB1",2424731,2,1,0,2
"1","XLOC_000335","URB1",2424801,0,1,2,1
"1","XLOC_000335","URB1",2426261,1,1,1,2
"1","XLOC_000335","URB1",2439863,2,NA,2,3
"1","XLOC_000335","URB1",2439897,3,1,6,3
"1","XLOC_000335","URB1",2448561,3,3,0,0
"1","XLOC_000335","URB1",2448611,1,1,2,2
"1","XLOC_000335","URB1",2448662,2,0,3,1
"1","XLOC_000335","URB1",2451087,4,4,NA,NA
"1","XLOC_000335","URB1",2451989,4,3,4,4
"1","XLOC_000335","URB1",2455248,6,3,6,1
"1","XLOC_000335","URB1",2456898,1,8,2,1
