"Chromosome","GeneID","Gene_name","Position","P1","P2","P3","P4"
"1","XLOC_000967","IFNGR2",1376843,102,NA,58,NA
"1","XLOC_000967","IFNGR2",1376884,46,NA,32,NA
"1","XLOC_000967","IFNGR2",1376932,49,NA,NA,NA
"1","XLOC_000967","IFNGR2",1376977,56,NA,NA,NA
"1","XLOC_000967","IFNGR2",1380918,17,29,29,32
"1","XLOC_000967","IFNGR2",1380919,17,29,28,32
"1","XLOC_000968","IFNAR1",1466011,0,2,17,21
"1","XLOC_000968","IFNAR1",1466037,0,2,17,20
"1","XLOC_000968","IFNAR1",1466632,16,16,NA,NA
"1","XLOC_000968","IFNAR1",1466737,23,NA,13,NA
"1","XLOC_000968","IFNAR1",1497377,0,3,NA,4
"1","XLOC_000968","IFNAR1",1497428,0,2,NA,2
"1","XLOC_000968","IFNAR1",1497723,0,1,NA,4
"1","XLOC_000968","IFNAR1",1497878,0,0,9,1
"1","XLOC_000968","IFNAR1",1497900,0,1,8,1
"1","XLOC_000968","IFNAR1",1498477,2,0,NA,5
"1","XLOC_000968","IFNAR1",1498528,1,0,NA,2
"1","XLOC_000969","IL10RB",1562560,1,2,NA,4
"1","XLOC_000969","IL10RB",1562900,0,1,2,2
"1","XLOC_000969","IL10RB",1563260,2,4,6,4
"1","XLOC_000969","IL10RB",1563295,1,2,2,4
"1","XLOC_000969","IL10RB",1563318,1,2,2,6
"1","XLOC_000969","IL10RB",1563783,2,2,6,7
"1","XLOC_000969","IL10RB",1563932,0,1,2,7
"1","XLOC_000969","IL10RB",1577769,3,3,6,12
"1","XLOC_000969","IL10RB",1577835,0,2,NA,7
"1","XLOC_000969","IL10RB",1582897,1,5,8,8
"1","XLOC_000969","IL10RB",1582959,6,NA,1,NA
"1","XLOC_000969","IL10RB",1591674,0,NA,NA,NA
"1","XLOC_000969","IL10RB",1591682,0,NA,NA,0
"1","XLOC_000970","IFNAR2",1593452,6,13,6,17
"1","XLOC_000970","IFNAR2",1593610,2,1,3,6
"1","XLOC_000970","IFNAR2",1593789,1,7,10,12
"1","XLOC_000970","IFNAR2",1593827,2,4,11,11
"1","XLOC_000970","IFNAR2",1594032,1,3,6,5
"1","XLOC_000970","IFNAR2",1594307,6,9,6,7
"1","XLOC_000970","IFNAR2",1594372,3,11,6,5
"1","XLOC_000970","IFNAR2",1608032,5,5,3,11
"1","XLOC_000970","IFNAR2",1626941,0,0,1,4
"1","XLOC_000971","OLIG1",1775551,15,15,20,45
"1","XLOC_000971","OLIG1",1775954,14,9,27,60
"1","XLOC_001601","No_Associated_Gene_Name",1823291,14,19,17,44
"1","XLOC_000332","GCFC1",2076954,30,34,60,54
"1","XLOC_000332","GCFC1",2079444,10,16,20,23
"1","XLOC_000332","GCFC1",2081023,9,16,28,31
"1","XLOC_000332","GCFC1",2081218,15,35,43,36
"1","XLOC_000332","GCFC1",2081306,5,6,40,28
"1","XLOC_000332","GCFC1",2082632,4,5,38,10
"1","XLOC_000332","GCFC1",2083007,4,5,16,23
"1","XLOC_000332","GCFC1",2083273,4,5,10,10
"1","XLOC_000332","GCFC1",2083621,1,0,4,7
"1","XLOC_000332","GCFC1",2084331,1,7,14,12
"1","XLOC_000332","GCFC1",2084351,1,6,12,7
"1","XLOC_000332","GCFC1",2084553,2,10,10,2
"1","XLOC_000332","GCFC1",2085310,50,NA,84,NA
"1","XLOC_000332","GCFC1",2098277,6,19,41,24
"1","XLOC_000332","GCFC1",2098997,6,25,52,44
"1","XLOC_000332","GCFC1",2100068,1,NA,2,0
"1","XLOC_000332","GCFC1",2100460,1,1,NA,1
"1","XLOC_000332","GCFC1",2100516,1,NA,NA,2
"1","XLOC_000332","GCFC1",2101376,0,NA,1,4
"1","XLOC_000332","GCFC1",2102525,2,2,3,3
"1","XLOC_000332","GCFC1",2102842,1,NA,NA,0
"1","XLOC_000333","SYNJ1",2135832,8,14,20,24
"1","XLOC_000333","SYNJ1",2169715,14,23,36,38
"1","XLOC_000333","SYNJ1",2170702,12,18,31,28
"1","XLOC_000333","SYNJ1",2170759,14,NA,37,NA
"1","XLOC_000333","SYNJ1",2196312,31,35,50,65
"1","XLOC_000333","SYNJ1",2197663,27,46,36,55
"1","XLOC_000333","SYNJ1",2197760,17,13,31,40
"1","XLOC_000333","SYNJ1",2197793,14,22,30,35
"1","XLOC_000333","SYNJ1",2198105,17,35,39,54
"1","XLOC_000333","SYNJ1",2198510,15,31,29,48
"1","XLOC_000334","C1H21orf59",2203775,0,NA,1,4
"1","XLOC_000334","C1H21orf59",2212758,41,65,40,56
"1","XLOC_000334","C1H21orf59",2216851,2,3,0,2
"1","XLOC_000334","C1H21orf59",2217179,1,NA,1,NA
"1","XLOC_000335","URB1",2387462,4,4,2,8
"1","XLOC_000335","URB1",2396140,2,3,10,6
"1","XLOC_000335","URB1",2400939,4,2,5,9
"1","XLOC_000335","URB1",2419709,0,1,6,3
"1","XLOC_000335","URB1",2421759,1,1,5,4
"1","XLOC_000335","URB1",2421917,0,2,8,4
"1","XLOC_000335","URB1",2424429,0,NA,1,4
"1","XLOC_000335","URB1",2424473,1,NA,NA,2
"1","XLOC_000335","URB1",2424801,2,4,6,4
